street_id,fid,MS_ID,scenario,version,cluster_id,cause_label,cluster_majority_rule_type
46225,46225,46225,PF,version_a,1,C_no_service,mixed_review
46226,46226,46226,PF,version_a,1,C_no_service,mixed_review
46227,46227,46227,PF,version_a,1,C_no_service,mixed_review
46228,46228,46228,PF,version_a,1,C_no_service,mixed_review
46229,46229,46229,PF,version_a,1,C_no_service,mixed_review
46230,46230,46230,PF,version_a,1,C_no_service,mixed_review
46231,46231,46231,PF,version_a,1,C_no_service,mixed_review
46232,46232,46232,PF,version_a,1,C_no_service,mixed_review
46233,46233,46233,PF,version_a,1,C_no_service,mixed_review
46234,46234,46234,PF,version_a,1,C_no_service,mixed_review
46235,46235,46235,PF,version_a,1,C_no_service,mixed_review
46236,46236,46236,PF,version_a,1,C_no_service,mixed_review
46237,46237,46237,PF,version_a,1,C_no_service,mixed_review
46238,46238,46238,PF,version_a,1,C_no_service,mixed_review
46239,46239,46239,PF,version_a,1,C_no_service,mixed_review
48046,48046,48046,PF,version_a,1,C_no_service,mixed_review
48047,48047,48047,PF,version_a,1,C_no_service,mixed_review
48048,48048,48048,PF,version_a,1,C_no_service,mixed_review
48049,48049,48049,PF,version_a,1,C_no_service,mixed_review
52562,52562,52562,PF,version_a,1,A_one_and_only,mixed_review
63686,63686,63686,PF,version_a,1,C_no_service,mixed_review
63687,63687,63687,PF,version_a,1,C_no_service,mixed_review
74062,74062,74062,PF,version_a,1,C_no_service,mixed_review
83211,83211,83211,PF,version_a,1,C_no_service,mixed_review
85078,85078,85078,PF,version_a,1,C_no_service,mixed_review
85079,85079,85079,PF,version_a,1,C_no_service,mixed_review
88962,88962,88962,PF,version_a,1,C_no_service,mixed_review
97761,97761,97761,PF,version_a,1,C_no_service,mixed_review
97762,97762,97762,PF,version_a,1,C_no_service,mixed_review
97763,97763,97763,PF,version_a,1,C_no_service,mixed_review
102191,102191,102191,PF,version_a,1,C_no_service,mixed_review
104755,104755,104755,PF,version_a,1,C_no_service,mixed_review
104756,104756,104756,PF,version_a,1,C_no_service,mixed_review
104765,104765,104765,PF,version_a,1,C_no_service,mixed_review
104766,104766,104766,PF,version_a,1,C_no_service,mixed_review
104767,104767,104767,PF,version_a,1,C_no_service,mixed_review
104768,104768,104768,PF,version_a,1,C_no_service,mixed_review
106566,106566,106566,PF,version_a,1,C_no_service,mixed_review
106567,106567,106567,PF,version_a,1,C_no_service,mixed_review
106568,106568,106568,PF,version_a,1,C_no_service,mixed_review
111080,111080,111080,PF,version_a,1,A_one_and_only,mixed_review
116809,116809,116809,PF,version_a,1,C_no_service,mixed_review
122252,122252,122252,PF,version_a,1,C_no_service,mixed_review
122253,122253,122253,PF,version_a,1,C_no_service,mixed_review
127501,127501,127501,PF,version_a,1,C_no_service,mixed_review
128057,128057,128057,PF,version_a,1,A_one_and_only,mixed_review
132198,132198,132198,PF,version_a,1,C_no_service,mixed_review
132199,132199,132199,PF,version_a,1,C_no_service,mixed_review
132200,132200,132200,PF,version_a,1,C_no_service,mixed_review
132201,132201,132201,PF,version_a,1,C_no_service,mixed_review
132202,132202,132202,PF,version_a,1,C_no_service,mixed_review
132203,132203,132203,PF,version_a,1,C_no_service,mixed_review
132204,132204,132204,PF,version_a,1,C_no_service,mixed_review
132206,132206,132206,PF,version_a,1,C_no_service,mixed_review
132207,132207,132207,PF,version_a,1,C_no_service,mixed_review
133681,133681,133681,PF,version_a,1,A_one_and_only,mixed_review
168107,168107,168107,PF,version_a,1,C_no_service,mixed_review
169179,169179,169179,PF,version_a,1,C_no_service,mixed_review
174684,174684,174684,PF,version_a,1,C_no_service,mixed_review
174685,174685,174685,PF,version_a,1,C_no_service,mixed_review
181704,181704,181704,PF,version_a,1,C_no_service,mixed_review
181707,181707,181707,PF,version_a,1,C_no_service,mixed_review
181708,181708,181708,PF,version_a,1,C_no_service,mixed_review
189802,189802,189802,PF,version_a,1,C_no_service,mixed_review
189803,189803,189803,PF,version_a,1,C_no_service,mixed_review
189804,189804,189804,PF,version_a,1,C_no_service,mixed_review
191329,191329,191329,PF,version_a,1,C_no_service,mixed_review
191330,191330,191330,PF,version_a,1,C_no_service,mixed_review
202248,202248,202248,PF,version_a,1,C_no_service,mixed_review
203106,203106,203106,PF,version_a,1,C_no_service,mixed_review
205823,205823,205823,PF,version_a,1,C_no_service,mixed_review
205824,205824,205824,PF,version_a,1,C_no_service,mixed_review
208301,208301,208301,PF,version_a,1,C_no_service,mixed_review
215641,215641,215641,PF,version_a,1,C_no_service,mixed_review
215642,215642,215642,PF,version_a,1,C_no_service,mixed_review
215643,215643,215643,PF,version_a,1,C_no_service,mixed_review
216482,216482,216482,PF,version_a,1,A_one_and_only,mixed_review
